# PIMCID: 4abb7b20-48b4-4c3e-898f-0d1748e30763
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  1.70895429E+01  1.09372266E+01  9.60314039E+00  9.60316018E+00  2.05403868E+01  2.03203868E+01  5.46862320E+00  5.46861331E+00  4.80157020E+00  4.80158009E+00  1.02701934E+01  1.34052567E+01  2.05403868E+00  7.81293523E+00  5.17818874E+01  0.00000000E+00  6.39167200E+01  1.84631182E+01  4.05837153E-01
  1.57988306E+01  1.07583113E+01  8.60515557E+00  8.60591678E+00  1.93642281E+01  1.91442281E+01  5.37953626E+00  5.37915565E+00  4.30257778E+00  4.30295839E+00  9.68211404E+00  1.31488839E+01  1.93642281E+00  7.84873153E+00  4.48996282E+01  0.00000000E+00  7.18762453E+01  1.49888682E+01  2.07998732E-01
  1.70220759E+01  9.99854947E+00  1.07602488E+01  1.07613881E+01  2.07599376E+01  2.05399376E+01  4.99984442E+00  4.99927473E+00  5.38012438E+00  5.38069407E+00  1.03799688E+01  1.40886225E+01  2.07599376E+00  8.00069530E+00  5.43458715E+01  0.00000000E+00  7.63529951E+01  2.21423625E+01  6.00027309E-01
  1.56227883E+01  9.76116522E+00  9.82524680E+00  9.82531045E+00  1.95864757E+01  1.93664757E+01  4.88061444E+00  4.88058261E+00  4.91262340E+00  4.91265522E+00  9.79323784E+00  1.36116204E+01  1.95864757E+00  8.04814890E+00  4.94580907E+01  0.00000000E+00  7.52631284E+01  2.03218879E+01  5.58391563E-01
  1.39664451E+01  8.81871219E+00  1.08505879E+01  1.08507359E+01  1.96694481E+01  1.94494481E+01  4.40943007E+00  4.40935609E+00  5.42529395E+00  5.42536793E+00  9.83472403E+00  1.34392786E+01  1.96694481E+00  8.23664254E+00  4.62997026E+01  0.00000000E+00  8.17500899E+01  1.68013880E+01  5.25276980E-02
  1.63457582E+01  1.02712087E+01  1.07447031E+01  1.07442184E+01  2.10154271E+01  2.07954271E+01  5.13536198E+00  5.13560436E+00  5.37235157E+00  5.37210918E+00  1.05077135E+01  1.46814228E+01  2.10154271E+00  7.94612996E+00  5.68059196E+01  0.00000000E+00  7.63550844E+01  2.11234719E+01  5.00713722E-01
  1.56726698E+01  1.06512728E+01  8.35014579E+00  8.34964853E+00  1.90009214E+01  1.87809214E+01  5.32538779E+00  5.32563642E+00  4.17507289E+00  4.17482427E+00  9.50046068E+00  1.27281563E+01  1.90009214E+00  7.87011369E+00  4.05395832E+01  0.00000000E+00  7.18380179E+01  1.74550609E+01  4.93058257E-01
  1.69649660E+01  1.06450798E+01  1.00561601E+01  1.00547267E+01  2.06998065E+01  2.04798065E+01  5.32182319E+00  5.32253990E+00  5.02808004E+00  5.02736333E+00  1.03499032E+01  1.31479018E+01  2.06998065E+00  7.87133310E+00  4.91815218E+01  0.00000000E+00  6.81189915E+01  1.84170701E+01  3.33497344E-01
  1.50349820E+01  1.03623905E+01  8.61971145E+00  8.61924637E+00  1.89816369E+01  1.87616369E+01  5.18096273E+00  5.18119526E+00  4.30985572E+00  4.30962319E+00  9.49081845E+00  1.39985337E+01  1.89816369E+00  7.92789124E+00  4.72593587E+01  0.00000000E+00  7.73745691E+01  2.24867831E+01  9.55790782E-01
  1.08156717E+01  7.12986677E+00  1.00828626E+01  1.00820271E+01  1.72118939E+01  1.69918939E+01  3.56451564E+00  3.56493339E+00  5.04143129E+00  5.04101354E+00  8.60594693E+00  1.36388187E+01  1.72118939E+00  8.57439713E+00  4.41627489E+01  0.00000000E+00  9.33398829E+01  1.51522013E+01  2.91539722E-03
  1.17582343E+01  8.67342549E+00  7.16510465E+00  7.16509681E+00  1.58385223E+01  1.56185223E+01  4.33670883E+00  4.33671275E+00  3.58255232E+00  3.58254841E+00  7.91926115E+00  1.16691235E+01  1.58385223E+00  8.26569737E+00  3.59326758E+01  0.00000000E+00  6.48291562E+01  1.45640286E+01  3.81637858E-01
  1.40088488E+01  9.93186490E+00  7.37156615E+00  7.37227387E+00  1.73041388E+01  1.70841388E+01  4.96628631E+00  4.96593245E+00  3.68578308E+00  3.68613693E+00  8.65206939E+00  1.27731788E+01  1.73041388E+00  8.01401907E+00  3.28819922E+01  0.00000000E+00  8.64734887E+01  1.82224355E+01  7.16401973E-01
