# PIMCID: 8c5181c0-5798-4c7c-af41-5be688624a64
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  1.60820885E+01  9.48329701E+00  7.97923862E+00  7.97892565E+00  1.74622227E+01  1.72422227E+01  4.74149202E+00  4.74164851E+00  3.98961931E+00  3.98946282E+00  8.73111133E+00  1.34014658E+01  1.94024696E+00  8.69303054E+00  5.12847358E+01  0.00000000E+00  7.56033424E+01  1.49509882E+01  2.98259407E-01
  1.32110243E+01  8.34010778E+00  7.23444717E+00  7.23445043E+00  1.55745582E+01  1.53545582E+01  4.17005552E+00  4.17005389E+00  3.61722358E+00  3.61722522E+00  7.78727910E+00  1.27932613E+01  1.73050647E+00  8.94707915E+00  4.17527152E+01  0.00000000E+00  7.71113722E+01  1.49676391E+01  4.11595838E-01
  1.49534774E+01  8.25378131E+00  1.01639609E+01  1.01638620E+01  1.84176433E+01  1.81976433E+01  4.12684119E+00  4.12689065E+00  5.08198046E+00  5.08193100E+00  9.20882165E+00  1.70616075E+01  2.04640481E+00  8.96626144E+00  6.03793258E+01  0.00000000E+00  1.16263011E+02  1.96389582E+01  4.39315809E-01
  1.47506579E+01  9.54866363E+00  8.34804804E+00  8.34767974E+00  1.78963434E+01  1.76763434E+01  4.77414766E+00  4.77433181E+00  4.17402402E+00  4.17383987E+00  8.94817168E+00  1.59664689E+01  1.98848260E+00  8.67850224E+00  5.68092035E+01  0.00000000E+00  9.93799090E+01  1.83455039E+01  5.82397843E-01
  1.13710936E+01  6.89343436E+00  1.02128727E+01  1.02127610E+01  1.71061953E+01  1.68861953E+01  3.44666133E+00  3.44671718E+00  5.10643634E+00  5.10638050E+00  8.55309767E+00  1.50511824E+01  1.90068837E+00  9.26856889E+00  5.02311575E+01  0.00000000E+00  1.03518738E+02  1.42130133E+01 -1.10613542E-01
  1.83715817E+01  9.80427522E+00  9.00471987E+00  9.00522197E+00  1.88094972E+01  1.85894972E+01  4.90238866E+00  4.90213761E+00  4.50235994E+00  4.50261098E+00  9.40474859E+00  1.34838140E+01  2.08994413E+00  8.62171619E+00  5.41207293E+01  0.00000000E+00  7.20493843E+01  2.02970599E+01  6.78922059E-01
  1.38962328E+01  8.13468815E+00  8.59920382E+00  8.59860834E+00  1.67332965E+01  1.65132965E+01  4.06704634E+00  4.06734408E+00  4.29960191E+00  4.29930417E+00  8.36664825E+00  1.47061719E+01  1.85925517E+00  8.99271569E+00  4.68668475E+01  0.00000000E+00  1.02303598E+02  1.64122656E+01  3.51434698E-01
  1.40305211E+01  8.84751846E+00  7.58291775E+00  7.58338271E+00  1.64309012E+01  1.62109012E+01  4.42399171E+00  4.42375923E+00  3.79145887E+00  3.79169135E+00  8.21545058E+00  1.44565550E+01  1.82565569E+00  8.83432871E+00  4.91020691E+01  0.00000000E+00  9.10216422E+01  1.72271898E+01  5.85211035E-01
  1.34214373E+01  7.92257725E+00  9.11714792E+00  9.11729964E+00  1.70398769E+01  1.68198769E+01  3.96136449E+00  3.96128863E+00  4.55857396E+00  4.55864982E+00  8.51993845E+00  1.42966905E+01  1.89331965E+00  9.03986644E+00  3.78546951E+01  0.00000000E+00  1.12401839E+02  1.76366324E+01  3.96067653E-01
  1.21442045E+01  8.61494416E+00  6.94926383E+00  6.94899255E+00  1.55639367E+01  1.53439367E+01  4.30733644E+00  4.30747208E+00  3.47463192E+00  3.47449628E+00  7.78196836E+00  1.46967592E+01  1.72932630E+00  8.88600082E+00  5.11076064E+01  0.00000000E+00  9.35080914E+01  1.48789227E+01  4.45542901E-01
  1.54529710E+01  7.54749157E+00  1.15493869E+01  1.15490806E+01  1.90965722E+01  1.88765722E+01  3.77359261E+00  3.77374578E+00  5.77469347E+00  5.77454030E+00  9.54828608E+00  1.65883444E+01  2.12184135E+00  9.12321399E+00  6.70687421E+01  0.00000000E+00  1.00598610E+02  1.91500160E+01  1.82638699E-01
  1.47345220E+01  9.53044384E+00  6.89105696E+00  6.88984251E+00  1.64202863E+01  1.62002863E+01  4.76461469E+00  4.76522192E+00  3.44552848E+00  3.44492125E+00  8.21014317E+00  1.37332873E+01  1.82447626E+00  8.68253055E+00  4.96481130E+01  0.00000000E+00  8.66374897E+01  1.53826537E+01  5.04788507E-01
  1.85123674E+01  1.10577999E+01  9.42756652E+00  9.42703400E+00  2.04848339E+01  2.02648339E+01  5.52863369E+00  5.52889995E+00  4.71378326E+00  4.71351700E+00  1.02424169E+01  1.69557321E+01  2.27609265E+00  8.34313127E+00  6.49861332E+01  0.00000000E+00  9.76808780E+01  2.06424063E+01  6.50184868E-01
  1.59002748E+01  8.33440853E+00  1.02639269E+01  1.02635826E+01  1.85979911E+01  1.83779911E+01  4.16703210E+00  4.16720427E+00  5.13196346E+00  5.13179129E+00  9.29899556E+00  1.41168048E+01  2.06644346E+00  8.94833715E+00  5.14213328E+01  0.00000000E+00  8.96240847E+01  2.11910982E+01  5.79571713E-01
  1.84021572E+01  9.20932345E+00  1.02235715E+01  1.02236356E+01  1.94329590E+01  1.92129590E+01  4.60469376E+00  4.60466172E+00  5.11178576E+00  5.11181780E+00  9.71647952E+00  1.41647013E+01  2.15921767E+00  8.75392114E+00  6.15081754E+01  0.00000000E+00  7.25912567E+01  1.62189230E+01  8.83462367E-02
  1.64678979E+01  1.02131823E+01  7.46369215E+00  7.46430842E+00  1.76774907E+01  1.74574907E+01  5.10689928E+00  5.10659115E+00  3.73184607E+00  3.73215421E+00  8.83874536E+00  1.35948992E+01  1.96416563E+00  8.53085177E+00  5.38219320E+01  0.00000000E+00  6.84003743E+01  1.68598567E+01  5.66338883E-01
  1.49467489E+01  7.93396684E+00  1.09062537E+01  1.09051448E+01  1.88391116E+01  1.86191116E+01  3.96642895E+00  3.96698342E+00  5.45312685E+00  5.45257238E+00  9.41955580E+00  1.58487822E+01  2.09323462E+00  9.03731366E+00  5.61577988E+01  0.00000000E+00  1.08305193E+02  2.00910873E+01  3.73336243E-01
